key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,34,33,up,0.005,db,1.00002,0.000368585,105.2196002,105.2196002,105.5208918,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,35,34,up,0.005,db,0.073211,0.00120628,107.9792038,107.9792038,108.2802614,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,36,35,up,0.005,db,0.0621345,0.001210204,110.9054326,110.9054326,111.2070028,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,37,36,down,0.005,db,0.053213,0.001200242,113.6488969,113.6488969,113.9499895,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,38,37,down,0.005,db,0.050783193,0.001233146,116.8099421,116.8099421,117.1111353,0
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,39,38,down,0.005,db,0.074343,0.001208091,119.569587,119.569587,119.8705619,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,40,39,down,0.005,db,0.096543,0.000827129,122.6294572,122.6294572,122.9306613,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,41,40,up,0.005,db,1.43235,0.000368887,125.0881659,125.0881659,125.3896533,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,42,41,up,0.005,db,0.090841693,0.001252768,128.8177283,128.8177283,129.1193447,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,43,42,up,0.005,db,0.080870968,0.001330349,131.7112096,131.7112096,132.0124426,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,44,43,up,0.005,db,0.06090026,0.000971725,135.1403,135.1403,135.4414615,0
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,45,44,down,0.005,db,0.050929569,0.00124673,138.4017496,138.4017496,138.7026141,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,46,45,down,0.005,db,0.040929569,0.001253372,143.8032593,143.8032593,144.1047598,0
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,47,46,down,0.005,db,0.020958895,0.001196922,146.6468568,146.6468568,146.9479519,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,48,47,up,0.005,db,0.010958895,0.001203261,149.7912442,149.7912442,150.0922158,0
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,49,48,down,0.005,db,0.050988238,0.001207789,153.3535199,153.3535199,153.6544688,0
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,50,49,down,0.005,db,0.071017598,0.0012902,156.2636645,156.2636645,156.5646864,0
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,51,50,down,0.005,db,0.091046974,0.001309822,159.3240128,159.3240128,159.6252947,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,52,51,up,0.005,db,1.051076368,0.001215336,162.5688169,162.5688169,162.8699316,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,53,52,up,0.005,db,0.081105778,0.001187563,165.9473819,165.9473819,166.2483571,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,54,53,up,0.005,db,0.071135205,0.001196922,168.740412,168.740412,169.041418,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,55,54,down,0.005,db,0.051135205,0.001322198,171.683454,171.683454,171.9845333,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,56,55,down,0.005,db,0.031135205,0.00071604,174.8111859,174.8111859,175.1122326,1
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,57,56,up,0.005,db,0.011105778,0.000919501,177.5035831,177.5035831,177.8051901,0
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,58,57,up,0.005,db,0.041135205,0.001210204,182.2704865,182.2704865,182.5715115,1
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,59,58,down,0.005,db,0.051135205,0.00084192,185.0801895,185.0801895,185.3810156,0
