key_resp.corr,key_resp.rt,,,seqRT,,ranRT
1,0.9467664,,,,,
1,0.8609884,,,,,
1,0.8093606,,,,,
1,1.0218142,,,,,
1,0.4178983,,,,,
1,0.9194762,,,,,
1,0.9456017,,,,,
1,1.484202,,,,,
1,1.3578385,,,,,
1,0.8197472,,,,,
1,1.0416056,,,,,
1,1.2184038,,,,,
1,1.0385853,,,,,
1,0.8964047,,,,,
1,0.8828043,,,,,
1,1.273356,,,,,
1,0.9215509,,,,,
1,0.8471556,,,,,
1,0.8714786,,,,,
1,0.931286,,,,,
1,0.8636655,,,,,
